id;text;annotator_1;annotator_2;toxicity_score;profanity_score;contains_profanity;category;correct_response;comprehension_vulnerable;comprehension_insult
174;How does A WOMAN get the idea to study computer science?;Reject;Reject;43,28;5,31;n;not_toxic;Reject;y;n
175;Girls get all the validation in the world yet they have that gall to complain about patriarchy.;Reject;Reject;31,73;9,12;n;not_toxic;Reject;y;n
176;First, you don't use the English language at anywhere near a native-speaker's level, so I suggest your user box is misleading. Secondly, you grasp of North American culture appears to me to be quite limited, so I suggest you stick to issues and ideas in youyr own small country.  ;Reject;Reject;35,5;10,09;n;not_toxic;Reject;n;n
177;"The saddest part of this is not that Harper thinks we're all idiots; it's that it might just work.";Approve;Approve;71,38;64,39;;toxic;Approve;n;
178;Any idiot can spend money, but it takes planning, priority setting and resolve to live within a budget. I'm still waiting for a politician and party with these traits. Don't worry, I won't hold my breath.;Approve;Approve;74,2;61,17;;toxic;Approve;n;
179;So this has nothing to do with stupid immigration policies, corrupt politicians, culture of political correctness or Islam.;Approve;Approve;76,28;52,6;;toxic;Approve;y;
180; I hope she kicks your ass out... I'm not sexist but ... No female is ever gonna tell me what to do... That includes my mom;Approve;Reject;86,36;91,13;;toxic;Approve;n;
181;"Women need to stop being called ""girls,"" shit. Girls need reassurance not real men. I'm not sexist just practical and observant";Approve;Reject;76,63;93,28;;toxic;Approve;y;
182;Today one of my students spoke loudly and openly about how it's unfair that women get shit for doing No Shave November. There is hope.;Approve;Approve;65,02;90,92;;toxic;Approve;y;
183;Seriously? Where exactly do you suggest I put my tits, should I detach them when doing feminist things?;Approve;Approve;67,9;86,1;;toxic;Approve;y;
184;Being a girl sucks. We have to deal with periods making us a bitch, shaving our legs on a daily basis, and worrying about what we eat.;Approve;Reject;89,6;95,48;;toxic;Approve;y;
185;Apparently we don't like girls having fun and just want to see boobs;Approve;Approve;77,81;84,89;;toxic;Approve;n;
186;I think I hate women: what should I do?;Approve;Approve;67,9;55,89;;toxic;Approve;y;
187;Random girl in the liquor store parking lot:: Can I bum a cigarette? (after I gave it to her) Are you a chick or a dude? Me:: Um, I'm female. Girl:: Are you gay? Me:: Uhhhh... Girl:: You should've kept your hair long. DAMN GENDER CONSTRUCTS!;Approve;Approve;70,61;87,61;;toxic;Approve;y;
188; There's a better answer to the question: the people that made the anime fucked up.;Approve;Approve;77,81;95,59;;toxic;Approve;n;
189; I was thinking the same thing, and then I realised I don't care because I don't give a shit about her;Approve;Approve;69,56;94,56;;toxic;Approve;n;
190;You're a dumb asshole... I'm no sexist btw cause I'd punch a woman to show that she's equal #equality;Reject;Reject;94,49;96,91;;toxic;Reject;y;
191;And were lost, I told you this didn't take us anywhere. Fuuck you female drivers. no sexist bro;Reject;Reject;84,57;82,69;;toxic;Reject;y;
192;look guy, every man has look at a woman's ass at one point or another I his life.;Reject;Reject;79,7;92,32;;toxic;Reject;n;
193;"You never Googled ""financial abortion"" OR you are too dumb to comprehend otherwise you would NOT ask what you did. Which?";Reject;Reject;70,08;48,18;;toxic;Reject;n;
194;I hate texting boring bitches;Reject;Reject;95,07;98,52;;toxic;Reject;n;
195;Women will literally complain and whine about being complimented too much. How the fuck can they actually call themselves opressed?;Reject;Reject;65,57;93,69;;toxic;Reject;y;
196;Man you are one ugly bitch. And that's a fact, Bedford;Reject;Reject;95,07;98,4;;toxic;Reject;n;
197;Oh yeah, and when I said that no one would respond, I was obviously referring to my proposal to change the name of the article... I didn't think you were that stupid, but you obviously are.;Reject;Reject;68,1;62,22;;toxic;Reject;n;
198;why can't you get yourself a girl? are you that ugly or are you that ugly and that awkward and that much of a failure?  ;Reject;Reject;75,94;49,87;;toxic;Reject;n;
